Water,Cement,Quartz,Fly Ash,Bagasse,Silica Fume,Calcium Carbonate,Fiber,Predicted_Strength,Active_SCM
356.2269,825.0003,0.0,0.0,23.1544,0.0,0.0,0.0901,3.0463,Bagasse
382.5158,775.0007,0.0,0.0,1.2339,0.0,0.0,0.108,2.9594,Bagasse
316.5574,975.0,0.0,0.0,5.9863,0.0,0.0,0.238,3.3504,Bagasse
356.2269,825.0003,0.0,0.0,23.1544,0.0,0.0,0.1064,3.0463,Bagasse
356.7942,750.0,0.0,0.0,0.0,3.0541,0.0,0.1094,2.9147,Silica Fume
355.3394,774.6579,0.0,0.0,0.0,4.6451,0.0,0.1309,2.9147,Silica Fume
358.002,775.9023,0.0,0.0,0.0,17.6151,0.0,0.078,2.9594,Silica Fume
358.1907,850.0034,0.0,0.0,0.0,17.6537,0.0,0.0749,3.0554,Silica Fume
357.9315,775.0002,0.0,0.0,0.0,13.2321,0.0,0.1369,2.9594,Silica Fume
355.5945,800.0052,0.0,0.0,0.0,3.1582,0.0,0.1116,2.9628,Silica Fume
357.8414,775.0002,0.0,0.0,0.0,13.2628,0.0,0.0667,2.9594,Silica Fume
355.7948,800.0052,0.0,0.0,0.0,18.1139,0.0,0.1101,2.9628,Silica Fume
356.5082,775.0001,0.0,0.0,0.0,15.9457,0.0,0.1403,2.9594,Silica Fume
355.6752,775.0001,0.0,0.0,0.0,22.7888,0.0,0.0722,2.9594,Silica Fume
365.2433,775.0001,0.0,0.0,0.0,18.6842,0.0,0.1403,2.9594,Silica Fume
356.8111,800.0052,0.0,0.0,0.0,21.5853,0.0,0.1265,2.9628,Silica Fume
355.6752,775.0001,0.0,0.0,0.0,21.0375,0.0,0.0722,2.9594,Silica Fume
350.9933,800.0052,0.0,0.0,0.0,16.7025,0.0,0.0724,2.9628,Silica Fume
360.3818,775.0001,0.0,0.0,0.0,18.6842,0.0,0.1403,2.9594,Silica Fume
356.8111,800.0052,0.0,0.0,0.0,1.6276,0.0,0.1265,2.9628,Silica Fume
353.8055,775.0001,0.0,0.0,0.0,3.657,0.0,0.1378,2.9594,Silica Fume
356.2354,775.0001,0.0,0.0,0.0,15.9457,0.0,0.1092,2.9594,Silica Fume
365.2806,825.0001,0.0,0.0,0.0,17.1867,0.0,0.1092,3.0463,Silica Fume
354.6259,825.0001,0.0,0.0,0.0,18.0713,0.0,0.1239,3.0463,Silica Fume
356.4135,775.0001,0.0,0.0,0.0,15.9457,0.0,0.1399,2.9594,Silica Fume
356.3181,775.0001,0.0,0.0,0.0,18.2228,0.0,0.1224,2.9594,Silica Fume
358.0914,775.0001,0.0,0.0,0.0,15.9857,0.0,0.1092,2.9594,Silica Fume
356.2849,800.0052,0.0,0.0,0.0,21.5853,0.0,0.1271,2.9628,Silica Fume
356.4136,775.0001,0.0,0.0,0.0,4.532,0.0,0.1132,2.9594,Silica Fume
355.1049,850.0021,0.0,0.0,0.0,22.3301,0.0,0.0795,3.0554,Silica Fume
355.7513,800.0052,0.0,0.0,0.0,21.6147,0.0,0.1265,2.9628,Silica Fume
358.2302,800.0052,0.0,0.0,0.0,21.5853,0.0,0.1098,2.9628,Silica Fume
351.2091,800.0052,0.0,0.0,0.0,16.6024,0.0,0.0724,2.9628,Silica Fume
355.4374,775.0001,0.0,0.0,0.0,2.0713,0.0,0.1227,2.9594,Silica Fume
355.4374,775.0001,0.0,0.0,0.0,2.0891,0.0,0.1227,2.9594,Silica Fume
365.2053,850.0021,0.0,0.0,0.0,22.1051,0.0,0.0795,3.0554,Silica Fume
351.2091,800.0052,0.0,0.0,0.0,16.6024,0.0,0.0729,2.9628,Silica Fume
357.9649,800.0052,0.0,0.0,0.0,1.6276,0.0,0.1258,2.9628,Silica Fume
356.8321,775.0001,0.0,0.0,0.0,17.425,0.0,0.1229,2.9594,Silica Fume
357.831,850.0021,0.0,0.0,0.0,18.0094,0.0,0.0631,3.0554,Silica Fume
355.1368,850.0021,0.0,0.0,0.0,16.8633,0.0,0.081,3.0554,Silica Fume
357.4906,775.0001,0.0,0.0,0.0,2.3007,0.0,0.0781,2.9594,Silica Fume
355.7948,800.0052,0.0,0.0,0.0,18.1139,0.0,0.1101,2.9628,Silica Fume
354.6259,825.0001,0.0,0.0,0.0,18.0909,0.0,0.1239,3.0463,Silica Fume
314.6997,925.0026,0.0,0.0,0.0,0.0,33.9034,0.2779,3.8324,Calcium Carbonate
313.8806,825.0017,0.0,0.0,0.0,0.0,30.5839,0.2912,3.3208,Calcium Carbonate
337.263,900.0001,0.0,0.0,0.0,0.0,31.1991,0.2547,3.7243,Calcium Carbonate
337.0847,900.0001,0.0,0.0,0.0,0.0,33.8421,0.285,3.7243,Calcium Carbonate
337.0847,900.0001,0.0,0.0,0.0,0.0,36.223,0.285,3.7243,Calcium Carbonate
389.1475,875.0011,0.0,0.0,0.0,0.0,105.698,0.2108,3.4811,Calcium Carbonate
385.4028,750.0,0.0,0.0,0.0,0.0,243.5487,0.0689,3.265,Calcium Carbonate
390.9426,875.0011,0.0,0.0,0.0,0.0,107.803,0.1958,3.4811,Calcium Carbonate
391.1615,875.0011,0.0,0.0,0.0,0.0,111.3995,0.2237,3.4811,Calcium Carbonate
389.1566,875.0011,0.0,0.0,0.0,0.0,111.7031,0.2237,3.4811,Calcium Carbonate
317.0244,775.0008,0.0,0.0,0.0,0.0,28.6666,0.2579,3.318,Calcium Carbonate
